id_ciudadano;id_usuario_asociado;fecha_alta;nombre;apellido;doc_nro;email;telefono;sexo;fecha_nacimiento;calle;calleAltura;contribuyente;enabled;habilitado;idCatastral;id_localidad;cuil;id_tipo_documento;id_sexo;id_nacionalidad;mails_chk;ren_chck;emp_chk;id_representacion;domicilio_manual;latitud;longitud;nivel_ciudadano;fecha_actualizacion;actualizado_por;codigo_postal
9299872;9506;27/10/2025;Pablo Jose;Dominko;22156716;pablo.jose.dominko575@example.com;1136406068;0;3/1/2002;Lavalle 3059;;;True;1;;;;1;;;True;True;;;0;;;;;;
9300908;9506;27/10/2025;Marta Cristina;Longo;11245528;marta.cristina.longo389@example.com;1126161578;0;29/6/1942;San Martín 5211;;;True;1;;14087;23112455280;1;1;;True;True;;;0;;;;17/3/2026;seed@example.com;
7802693;9506;4/7/2024;Anabela;Cuppi;12333649;;;0;27/11/1988;Sarmiento 3082;;;True;1;;14087;;1;;;True;True;;;0;;;;;;
8319636;9506;6/9/2024;Gustavo Eduardo;Boeri;33977843;gustavo.eduardo.boeri681@example.com;1146175890;1;23/5/1999;San Lorenzo 8801;;;True;1;;14087;;1;;;True;True;;;0;;;;12/9/2024;seed@example.com;
9439183;9506;12/12/2025;Isabel;Crego;36210786;isabel.crego973@example.com;1176938012;1;6/12/1999;Pueyrredón 2121;;;True;1;;14087;;1;;;True;True;;;0;;;;18/12/2025;seed@example.com;
9329597;9506;13/11/2025;Karina Gisela;Altube;42987941;karina.gisela.altube811@example.com;1161464355;0;18/12/1996;Mitre 8162;;;True;1;;;;1;;;True;True;;;0;;;;29/12/2025;seed@example.com;
9316198;9506;4/11/2025;Jose;Mendoza;24002750;jose.mendoza883@example.com;;1;11/6/1980;Brown 9429;;;True;1;;;20240027508;1;2;;True;True;;;0;;;;;;1646
8805530;9506;8/7/2025;Maria Claudia;Barg Goransky;12488474;maria.claudia.barg.goransky317@example.com;;1;28/2/1949;Las Heras 6478;;;True;1;;;27124884740;1;2;;True;True;;;0;;;;;;1636
8720596;9506;6/5/2025;Nora Hilda;Callaci;11163141;nora.hilda.callaci289@example.com;;0;28/1/1979;Independencia 5897;;;True;1;;14087;23111631417;1;1;;True;True;;;0;;;;6/5/2025;seed@example.com;1636
9669306;9506;2/3/2026;Patricia Maria;Veras;14919096;patricia.maria.veras697@example.com;1164005989;0;23/1/1999;Sarmiento 4713;;;True;1;;14087;20149190966;1;;;True;True;;;0;;;;4/3/2026;seed@example.com;1170
9152038;9506;2/9/2025;Daila Delfina;Benitez;19943193;daila.delfina.benitez149@example.com;;1;23/5/1961;San Martín 1726;;;True;1;;;20199431934;1;2;;True;True;;;0;;;;;;1636
8819187;9506;18/7/2025;Paula Valeria;Salcedo Dalko;11660044;paula.valeria.salcedo.dalko792@example.com;1110417436;0;11/12/1995;Alvear 7255;;;True;1;;;;1;;;True;True;;;0;;;;18/3/2026;seed@example.com;
9167283;9506;15/9/2025;Raquel Beatriz;Lopez;35529294;raquel.beatriz.lopez136@example.com;1179590512;0;21/7/1941;Av. Siempre Viva 8203;;;True;1;;14087;24355292949;1;1;;True;True;;;0;;;;15/9/2025;seed@example.com;1636
9662907;9506;25/2/2026;Rocio Daniela;Barbagrigia;22861955;rocio.daniela.barbagrigia299@example.com;1123212311;1;27/5/2003;Moreno 1976;;;True;1;;14087;23228619559;1;;;True;True;;;0;;;;25/2/2026;seed@example.com;1636
9598428;9506;26/1/2026;Leonardo Manuel;Ponce;24777767;leonardo.manuel.ponce305@example.com;1165695043;0;16/4/1996;Calle Falsa 6917;;;True;1;;14087;24247777672;1;;;True;True;;;0;;;;26/1/2026;seed@example.com;1636
9664896;9506;26/2/2026;Erika;Hernandez;29952695;erika.hernandez851@example.com;1117155098;0;15/1/2008;9 de Julio 7392;;;True;1;;25829;23299526952;1;;;True;True;;;0;;;;26/2/2026;seed@example.com;1636
9345132;9506;25/11/2025;Carola Bettina;Luna;16527460;carola.bettina.luna51@example.com;1103795849;0;26/9/1999;Las Heras 8308;;;True;1;;14087;27165274604;1;1;;True;True;;;0;;;;25/11/2025;seed@example.com;1636
9316635;9506;5/11/2025;Aida Monica;Kobilanski;48345171;aida.monica.kobilanski270@example.com;1115730458;0;29/7/1993;Las Heras 3738;;;True;1;;25829;;1;;;True;True;;;0;;;;19/2/2026;seed@example.com;
9591751;9506;21/1/2026;Gabriel Alejandro;Perrotta;28847017;gabriel.alejandro.perrotta316@example.com;;0;28/12/1955;San Lorenzo 6564;;;True;1;;25829;24288470176;1;;;True;True;;;0;;;;21/1/2026;seed@example.com;1667
9149379;9506;29/8/2025;Susana;Oppenheimer;42285330;susana.oppenheimer44@example.com;;0;3/2/2002;San Martín 2384;;;True;1;;14087;;1;;;True;True;;;0;;;;18/9/2025;seed@example.com;
9339281;9506;19/11/2025;Carmen Yolanda;Caramuti;12997143;;1147495330;1;13/7/1993;Lavalle 5944;;;True;1;;14087;;1;;;True;True;;;0;;;;;;
8837409;9506;1/8/2025;Teresa Beatriz;Nieva;48806796;teresa.beatriz.nieva280@example.com;1180210905;0;22/9/1972;Moreno 5268;;;True;1;;;;1;;;True;True;;;0;;;;20/10/2025;seed@example.com;
8850784;9506;13/8/2025;Eduardo Emanuel;Luchessi;40909158;eduardo.emanuel.luchessi288@example.com;1150826430;0;31/3/1970;San Lorenzo 8227;;;True;1;;14087;;1;;;True;True;;;0;;;;5/2/2026;seed@example.com;
8855639;9506;18/8/2025;Santiago;Katschke;36626152;santiago.katschke988@example.com;1177177603;0;28/7/1963;San Martín 3700;;;True;1;;14087;;1;;;True;True;;;0;;;;10/3/2026;seed@example.com;
8387073;9506;4/12/2024;Jorge;Barreiro;44252899;;1178411901;0;24/6/1955;Las Heras 298;;;True;1;;14087;;1;;;True;True;;;0;;;;;;
9155773;9506;4/9/2025;Antonia;Puente;21142180;antonia.puente166@example.com;1114845434;0;23/1/2003;San Lorenzo 4291;;;True;1;;14087;;1;;;True;True;;;0;;;;;;
8795616;9506;27/6/2025;Estela Maris;Nuñez;33699024;estela.maris.nunez894@example.com;1191213510;0;3/6/1998;Independencia 4800;;;True;1;;14087;;1;;;True;True;;;0;;;;;;
8364606;9506;6/11/2024;Ignacio Gabriel;Frias;18939296;ignacio.gabriel.frias409@example.com;1112762103;0;23/11/1961;Av. Siempre Viva 367;;;True;1;;14087;;1;;;True;True;;;0;;;;;;
9359088;9506;2/12/2025;Maria Cristina;Barcos;48399298;maria.cristina.barcos968@example.com;1183335490;0;30/5/1966;Calle Falsa 964;;;True;1;;14087;;1;;;True;True;;;0;;;;3/12/2025;seed@example.com;
9426744;9506;3/12/2025;Natalia;Vazquez;43702660;natalia.vazquez980@example.com;1175235499;0;23/3/1969;Sarmiento 7021;;;True;1;;14087;;1;;;True;True;;;0;;;;19/12/2025;seed@example.com;
9143501;9506;26/8/2025;Roberto Covian;Santillan;15069933;roberto.covian.santillan596@example.com;1107692399;0;4/3/1996;9 de Julio 9854;;;True;1;;14087;;1;;;True;True;;;0;;;;26/8/2025;seed@example.com;
8846227;9506;8/8/2025;Mariano;Cutuli;15744894;mariano.cutuli423@example.com;1147435946;0;23/2/1988;Sarmiento 7592;;;True;1;;;;1;;;True;True;;;0;;;;20/8/2025;seed@example.com;
9157690;9506;5/9/2025;Maria Victoria;Molina;12225691;maria.victoria.molina470@example.com;1172331085;0;6/8/1944;Sarmiento 4286;;;True;1;;14087;;1;;;True;True;;;0;;;;26/2/2026;seed@example.com;
9569704;9506;13/1/2026;María Eugenia;Scoccione;11142637;maria.eugenia.scoccione367@example.com;;;10/3/1966;Calle Falsa 9772;;;True;1;;14087;20111426377;1;;;True;True;;;0;;;;13/1/2026;seed@example.com;1636
9142911;9506;25/8/2025;Mirtha Susana;Guerrero;13953735;mirtha.susana.guerrero279@example.com;1149983690;1;21/12/1974;Belgrano 3532;;;True;1;;14087;;1;;;True;True;;;0;;;;5/11/2025;seed@example.com;
9162328;9506;10/9/2025;Gonzalo Nicolás;Sanchez;28471042;;1193745693;0;19/2/1952;Urquiza 4987;;;True;1;;25014;;1;;;True;True;;;0;;;;13/2/2026;seed@example.com;
8361170;9506;31/10/2024;Susana Beatriz;Quesnel;20017555;susana.beatriz.quesnel341@example.com;1178611866;0;26/7/1953;9 de Julio 142;;;True;1;;;;1;;;True;True;;;0;;;;3/10/2025;seed@example.com;
9335604;9506;17/11/2025;Alejandra Mónica;Serres Bustos;16686030;;1145218107;0;21/12/1987;Güemes 5945;;;True;1;;;;1;;;True;True;;;0;;;;;;
9662624;9506;25/2/2026;Graciela Blanca;Gianico;34721330;graciela.blanca.gianico72@example.com;1181549020;0;17/4/1975;Moreno 1922;;;True;1;;14087;23347213304;1;;;True;True;;;0;;;;25/2/2026;seed@example.com;1637
9671876;9506;3/3/2026;Rosa;Lescano;36267886;rosa.lescano932@example.com;1129087406;0;3/1/1947;Pueyrredón 854;;;True;1;;14087;24362678865;1;;;True;True;;;0;;;;3/3/2026;seed@example.com;1632
8842127;9506;6/8/2025;Miguel Andres;Piaggesi;46633568;miguel.andres.piaggesi662@example.com;1163135351;0;23/1/1948;Av. Siempre Viva 3452;;;True;1;;;;1;;;True;True;;;0;;;;;;
8842142;9506;6/8/2025;Carlos;Medina;46771326;carlos.medina155@example.com;1193129563;0;13/8/1984;25 de Mayo 3394;;;True;1;;;;1;;;True;True;;;0;;;;;;
9302494;9506;28/10/2025;Susana Ester;Rivera;23406270;susana.ester.rivera898@example.com;;1;20/10/1998;Independencia 4482;;;True;1;;;27234062701;1;2;;True;True;;;0;;;;29/12/2025;;1636
9606825;9506;29/1/2026;Lidia Ester;Scianca;18128042;lidia.ester.scianca160@example.com;1109475300;0;26/12/1942;San Lorenzo 5636;;;True;1;;14087;27181280429;1;;;True;True;;;0;;;;29/1/2026;seed@example.com;1637
9161937;9506;10/9/2025;Graciela;Villa Martelli;30907757;graciela.villa.martelli102@example.com;1139493829;0;23/2/1981;San Lorenzo 9160;;;True;1;;25829;20309077571;1;1;;True;True;;;0;;;;10/9/2025;seed@example.com;1636
9163398;9506;11/9/2025;Claudia;Bruno;21927744;claudia.bruno122@example.com;1166253048;1;17/9/1937;Alvear 7935;;;True;1;;;;1;;;True;True;;;0;;;;;;
8806796;9506;8/7/2025;Natacha;Alderete;21610296;natacha.alderete214@example.com;1173156772;0;22/2/1940;Las Heras 5835;;;True;1;;14087;;1;;;True;True;;;0;;;;3/3/2026;seed@example.com;
9569825;9506;13/1/2026;Vanesa;Ameal;23697211;vanesa.ameal643@example.com;1178388417;0;21/10/1977;Urquiza 6608;;;True;1;;25829;24236972115;1;;;True;True;;;0;;;;14/1/2026;seed@example.com;1636
9689556;9506;13/3/2026;Deborah;Caorsi Resúa;25009241;deborah.caorsi.resua681@example.com;1114396170;0;13/8/1954;Mitre 2020;;;True;1;;25829;20250092413;1;;;True;True;;;0;;;;13/3/2026;seed@example.com;1629
8659483;9506;26/2/2025;Fabiana Alejandra;De Luca;14999743;fabiana.alejandra.de.luca203@example.com;1134245274;1;15/12/1998;Pueyrredón 6318;;;True;1;;25829;;1;;;True;True;;;0;;;;;;
9305566;9506;30/10/2025;Candela Maria;Hernandez;36053346;;1127021867;0;8/6/1943;Pueyrredón 3021;;;True;1;;25829;;1;;;True;True;;;0;;;;5/3/2026;seed@example.com;
9661005;9506;24/2/2026;Federico Sebastian;Wallentin;32455581;federico.sebastian.wallentin283@example.com;1134610624;0;11/8/1936;Av. Siempre Viva 6391;;;True;1;;25829;23324555819;1;;;True;True;;;0;;;;24/2/2026;seed@example.com;6455
8838652;9506;4/8/2025;Esteban;Pozzi;15159312;;1115146587;0;16/3/1967;Mitre 253;;;True;1;;14087;;1;;;True;True;;;0;;;;12/3/2026;seed@example.com;
9612145;9506;2/2/2026;Aimara Jaqueline;Rodriguez;47125282;aimara.jaqueline.rodriguez572@example.com;1137766546;;23/10/1969;Las Heras 7501;;;True;1;;14087;24471252829;1;;;True;True;;;0;;;;2/2/2026;seed@example.com;1637
9682974;9506;10/3/2026;Liliana;Rando;24754874;liliana.rando930@example.com;1108275459;0;27/12/1962;Av. Siempre Viva 7956;;;True;1;;14087;23247548746;1;;;True;True;;;0;;;;13/3/2026;seed@example.com;1637
9307239;9506;31/10/2025;Mónica Isabel;Carlomagno;44609379;monica.isabel.carlomagno871@example.com;1191971126;0;19/7/1957;Sarmiento 6153;;;True;1;;14087;;1;;;True;True;;;0;;;;25/3/2026;seed@example.com;
9590036;9506;20/1/2026;Franco Juan Pedro;Rabanedo;24167604;franco.juan.pedro.rabanedo931@example.com;1183468824;1;1/3/1976;Las Heras 1132;;;True;1;;25829;23241676046;1;;;True;True;;;0;;;;27/1/2026;seed@example.com;1638
9315993;9506;4/11/2025;Guillermo;Spinelli;33497695;guillermo.spinelli31@example.com;1190414014;0;29/11/1995;Av. Siempre Viva 7445;;;True;1;;;;1;;;True;True;;;0;;;;26/3/2026;seed@example.com;
9325605;9506;11/11/2025;Eduardo Alberto;Rodriguez;33477124;;1119053183;0;27/10/1959;9 de Julio 5472;;;True;1;;25015;;1;;;True;True;;;0;;;;27/3/2026;seed@example.com;
9159916;9506;8/9/2025;Solange Maria;Aicardi;44269818;;1174971286;0;19/1/1949;Pueyrredón 1545;;;True;1;;;;1;;;True;True;;;0;;;;21/1/2026;seed@example.com;
9066702;9506;22/8/2025;Emiliano Yamil;Guasoni;23336112;emiliano.yamil.guasoni499@example.com;1181842929;1;26/10/1936;Av. Siempre Viva 5638;;;True;1;;25014;24233361128;1;2;;True;True;;;0;;;;5/12/2025;seed@example.com;1638
8845337;9506;8/8/2025;Alicia Ester;Corzo;42164720;alicia.ester.corzo720@example.com;;0;3/8/1979;Urquiza 1113;;;True;1;;25014;23421647200;1;1;;True;True;;;0;;;;6/9/2025;seed@example.com;1638
9648121;9506;12/2/2026;Juan Jose;Canepa;18543446;juan.jose.canepa322@example.com;;0;10/2/1971;Pueyrredón 4168;;;True;1;;;24185434468;1;;;True;True;;;0;;;;12/2/2026;seed@example.com;1636
9598641;9506;26/1/2026;German Jose;Fridel;38593683;german.jose.fridel199@example.com;1113129577;0;2/11/2002;Sarmiento 9960;;;True;1;;14086;27385936837;1;;;True;True;;;0;;;;4/3/2026;seed@example.com;1636
9672806;9506;3/3/2026;Ana Maria;Gareis;37138459;ana.maria.gareis407@example.com;1133157352;0;17/3/1988;Sarmiento 9026;;;True;1;;;23371384598;1;;;True;True;;;0;;;;3/3/2026;seed@example.com;1602
9659478;9506;23/2/2026;Jose Luis;Garcia;40795340;jose.luis.garcia502@example.com;1103101502;0;14/9/1952;Belgrano 1401;;;True;1;;;24407953404;1;;;True;True;;;0;;;;23/2/2026;seed@example.com;1602
8726412;9506;12/5/2025;Eufemio Jesus;Barone;15604095;eufemio.jesus.barone869@example.com;1195381532;0;9/11/1991;25 de Mayo 3226;;;True;1;;25015;24156040953;1;1;;True;True;;;0;;;;21/1/2026;seed@example.com;1602
9470956;9506;27/12/2025;Eda Del Valle;Antonioli;25256519;eda.del.valle.antonioli921@example.com;;1;28/4/1982;Moreno 2888;;;True;1;;;24252565192;1;2;;True;True;;;0;;;;;;1602
9602205;9506;27/1/2026;Maria Marcela;Vega;20005553;maria.marcela.vega906@example.com;1155925081;0;24/8/1937;25 de Mayo 6357;;;True;1;;25014;20200055535;1;;;True;True;;;0;;;;3/3/2026;seed@example.com;0
9642064;9506;9/2/2026;Rojas Cabrera;Vega;29721590;rojas.cabrera.vega569@example.com;1188277961;0;12/10/1963;Moreno 4713;;;True;1;;;20297215902;1;;;True;True;;;0;;;;17/3/2026;seed@example.com;1602
9572250;9506;14/1/2026;Soledad Angeles;Lamberti;40890321;soledad.angeles.lamberti394@example.com;1137658936;0;11/11/1954;Brown 1388;;;True;1;;25015;27408903210;1;;;True;True;;;0;;;;11/3/2026;seed@example.com;1636
9624334;9506;9/2/2026;Yanina Maylen;Efcofet;26089005;yanina.maylen.efcofet536@example.com;1121269266;0;23/8/2007;Urquiza 9748;;;True;1;;25829;24260890057;1;;;True;True;;;0;;;;10/2/2026;seed@example.com;1655
9653338;9506;18/2/2026;Marcelo;Caceres;20419314;marcelo.caceres952@example.com;;0;31/7/1965;Mitre 3897;;;True;1;;25829;24204193144;1;;;True;True;;;0;;;;18/2/2026;seed@example.com;1648
8768468;9506;4/6/2025;Silvia;Diaz;12980522;silvia.diaz530@example.com;;0;22/5/2004;Independencia 3627;;;True;1;;25017;27129805228;1;1;;True;True;;;0;;;;13/1/2026;seed@example.com;1626
8724448;9506;9/5/2025;Juan Jose;Cisternas;49724032;juan.jose.cisternas819@example.com;1129918647;0;16/10/1938;Urquiza 6479;;;True;1;;25015;;1;;;True;True;;;0;;;;29/10/2025;seed@example.com;
9652555;9506;18/2/2026;Horacio Omar;Escapa;36308228;horacio.omar.escapa202@example.com;1172852191;0;20/1/1992;Mitre 3870;;;True;1;;25014;23363082286;1;;;True;True;;;0;;;;18/2/2026;seed@example.com;1636
9337016;9506;18/11/2025;Carola;Primosich;17358463;carola.primosich303@example.com;1163116856;0;29/5/1961;Castelli 7812;;;True;1;;25829;;1;;;True;True;;;0;;;;27/3/2026;seed@example.com;
7802639;9506;4/7/2024;Mercedes;Garcia;33815263;mercedes.garcia430@example.com;1196183645;0;18/12/1995;Av. Siempre Viva 3247;;;True;1;;25014;;1;;;True;True;;;0;;;;;;
9172390;9506;18/9/2025;Venancio Efrain;Adjiman;18173082;venancio.efrain.adjiman919@example.com;;0;2/9/1988;Pueyrredón 6007;;;True;1;;;27181730828;1;1;;True;True;;;0;;;;;;1638
8798590;9506;1/7/2025;Laura;Niño;22279141;laura.nino847@example.com;;1;22/9/1982;Urquiza 5188;;;True;1;;;27222791419;1;2;;True;True;;;0;;;;18/2/2026;;1638
8831498;9506;29/7/2025;Nazario Norberto;Battistella;17647828;nazario.norberto.battistella657@example.com;1155330810;0;12/12/1961;Independencia 5378;;;True;1;;25014;;1;;;True;True;;;0;;;;27/3/2026;seed@example.com;
7803405;9506;5/7/2024;Maria Jose;Alvarez;44875726;maria.jose.alvarez508@example.com;1116768553;1;17/8/1990;Güemes 5795;;;True;1;;14087;23448757267;1;;;True;True;;;0;;;;8/9/2025;seed@example.com;
8848743;9506;11/8/2025;Maria Esther;Flores;15412895;maria.esther.flores768@example.com;1178833428;1;30/4/2001;Las Heras 1912;;;True;1;;25014;;1;;;True;True;;;0;;;;;;
8695193;9506;7/4/2025;Diego;Yacovone;25254504;diego.yacovone318@example.com;1191166397;1;2/11/1950;Moreno 7812;;;True;1;;25014;;1;;;True;True;;;0;;;;7/1/2026;seed@example.com;
8857292;9506;19/8/2025;Isabel;Merlgarejo;48818925;isabel.merlgarejo556@example.com;1167440827;0;21/4/1940;Independencia 5187;;;True;1;;;;1;;;True;True;;;0;;;;;;
8750112;9506;19/5/2025;Brandon;Batista;17801598;brandon.batista799@example.com;1193539776;0;11/4/1952;Av. Siempre Viva 9219;;;True;1;;;;1;;;True;True;;;0;;;;28/7/2025;seed@example.com;
9466438;9506;22/12/2025;Ricardo Omar;Touson;23359602;ricardo.omar.touson805@example.com;1150601087;0;28/8/1994;Belgrano 7829;;;True;1;;25829;;1;;;True;True;;;0;;;;29/12/2025;seed@example.com;
9667296;9506;27/2/2026;Norma Esther;Silveira;19607811;norma.esther.silveira877@example.com;1173287085;0;7/8/1959;Mitre 8556;;;True;1;;25829;24196078118;1;;;True;True;;;0;;;;27/2/2026;seed@example.com;1423
9301273;9506;28/10/2025;Luis Gabriel;Pavon;27607525;luis.gabriel.pavon997@example.com;1115737021;1;26/2/1960;Castelli 577;;;True;1;;25015;23276075257;1;2;;True;True;;;0;;;;28/10/2025;seed@example.com;1602
9438829;9506;12/12/2025;Camila Soledad;Verguilla;34232191;;1112283191;0;12/12/1990;Rivadavia 8991;;;True;1;;25022;;1;;;True;True;;;0;;;;;;
8831251;9506;28/7/2025;Monica Andrea;Amarilla Escobar;47944535;monica.andrea.amarilla.escobar166@example.com;;1;6/11/1963;Belgrano 7921;;;True;1;;;24479445351;1;2;;True;True;;;0;;;;14/3/2026;;1602
7808036;9506;15/7/2024;Veronica Laudo Malet;Rampinini;30690711;veronica.laudo.malet.rampinini981@example.com;1156870202;0;1/2/1967;Alvear 6514;;;True;1;;25015;;1;;;True;True;;;0;;;;10/3/2026;seed@example.com;
9671046;9506;2/3/2026;Monica Raquel;Levec;18330690;monica.raquel.levec25@example.com;;1;14/3/1940;Independencia 7615;;;True;1;;;23183306907;1;2;;True;True;;;0;;;;;;1602
8791572;9506;24/6/2025;Norma Edith;Moreda;21008346;;1116525687;1;11/6/1938;Rivadavia 6043;;;True;1;;25015;;1;;;True;True;;;0;;;;;;
9490726;9506;5/1/2026;Milton Orlando Leonel;Juarez;35285750;milton.orlando.leonel.juarez751@example.com;;;23/1/1956;Mitre 221;;;True;1;;;23352857501;1;;;True;True;;;0;;;;8/1/2026;seed@example.com;1602
9565229;9506;9/1/2026;Mirta;Messina;34704710;mirta.messina997@example.com;1182828931;0;9/11/1943;Moreno 5523;;;True;1;;25015;20347047103;1;1;;True;True;;;0;;;;9/1/2026;seed@example.com;1602
8466345;9506;13/1/2025;Maiori;Villagomez;39027968;maiori.villagomez384@example.com;1120111168;0;1/4/1969;Las Heras 612;;;True;1;;25022;23390279684;1;1;;True;True;;;0;;;;12/3/2026;seed@example.com;1602
9662196;9506;24/2/2026;María Eugenia;Guarragino;34305386;maria.eugenia.guarragino239@example.com;;1;6/2/1942;25 de Mayo 9854;;;True;1;;;27343053862;1;2;;True;True;;;0;;;;;;1602
8714889;9506;28/4/2025;Lorena;Ohki;48138164;lorena.ohki161@example.com;1122749934;0;7/4/1991;Urquiza 2653;;;True;1;;25015;;1;;;True;True;;;0;;;;8/1/2026;seed@example.com;
9474788;9506;2/1/2026;Jorge Carlos;Mac Dougan;39452497;jorge.carlos.mac.dougan187@example.com;1148986272;0;4/11/1961;Güemes 9133;;;True;1;;25015;27394524970;1;1;;True;True;;;0;;;;2/1/2026;seed@example.com;1602
8385642;9506;3/12/2024;Cyntia Lorena;Cetrari;33832669;;1138236558;0;29/10/1939;Mitre 2684;;;True;1;;25015;;1;;;True;True;;;0;;;;;;
9433938;9506;9/12/2025;Emilce Beatriz Ramona;Argañaraz Silva;31568905;emilce.beatriz.ramona.arganaraz.silva743@example.com;;0;19/10/2006;Moreno 3012;;;True;1;;;24315689058;1;1;;True;True;;;0;;;;;;1602
8697709;9506;9/4/2025;Estela;Williman;48777222;estela.williman615@example.com;1167641508;;6/8/1976;Güemes 6688;;;True;1;;;;1;;;True;True;;;0;;;;9/4/2025;;
9196439;9506;7/10/2025;Joaquin Ignacio;Delu Valerga;25993087;joaquin.ignacio.delu.valerga693@example.com;;0;24/12/1938;Alvear 7570;;;True;1;;;23259930875;1;1;;True;True;;;0;;;;;;1602
8836441;9506;1/8/2025;Maria Valeria;Setien;38753213;maria.valeria.setien212@example.com;1106866743;1;5/12/1975;Av. Siempre Viva 1316;;;True;1;;25015;23387532132;1;;;True;True;;;0;;;;12/3/2026;seed@example.com;1602
9604100;9506;28/1/2026;Fabiana;Casalone;15738496;fabiana.casalone897@example.com;1164021431;1;22/4/1948;San Lorenzo 3195;;;True;1;;25015;24157384965;1;;;True;True;;;0;;;;28/1/2026;seed@example.com;1602
9699662;9506;19/3/2026;Jose Valentin;Carnemolla;49957499;jose.valentin.carnemolla403@example.com;1155564367;0;18/8/1967;Mitre 1256;;;True;1;;25014;24499574991;1;;;True;True;;;0;;;;19/3/2026;seed@example.com;1636
9314885;9506;4/11/2025;Regina;Lommer,;38397141;regina.lommer,816@example.com;;0;26/10/1954;Brown 6267;;;True;1;;25015;27383971414;1;1;;True;True;;;0;;;;7/11/2025;seed@example.com;1602
8687485;9506;28/3/2025;Patricia Viviana;Batalla;43341170;patricia.viviana.batalla53@example.com;1131778192;1;16/7/1973;Av. Siempre Viva 3583;;;True;1;;25015;24433411707;1;2;;True;True;;;0;;;;28/3/2025;seed@example.com;1602
8846387;9506;8/8/2025;Maria;Tomas;36385403;maria.tomas438@example.com;1189633991;0;15/1/1971;Calle Falsa 2188;;;True;1;;25015;;1;;;True;True;;;0;;;;15/12/2025;seed@example.com;
9142332;9506;25/8/2025;Jose Pablo;Chaves;44316771;jose.pablo.chaves698@example.com;1161254192;0;19/7/1959;9 de Julio 8335;;;True;1;;25015;;1;;;True;True;;;0;;;;10/2/2026;seed@example.com;
8853344;9506;14/8/2025;Nestor;Otranto;11332743;;1108959026;0;20/11/1972;Brown 9138;;;True;1;;25015;;1;;;True;True;;;0;;;;1/10/2025;seed@example.com;
9591595;9506;21/1/2026;Rosa;Giménez;32280174;rosa.gimenez191@example.com;;0;18/9/1993;Castelli 8525;;;True;1;;25015;24322801742;1;;;True;True;;;0;;;;21/1/2026;seed@example.com;1602
9171545;9506;18/9/2025;Jesus Edith;Xandri Facheli;41479259;jesus.edith.xandri.facheli457@example.com;1121057198;0;7/11/1973;Moreno 4567;;;True;1;;25015;;1;;;True;True;;;0;;;;3/3/2026;seed@example.com;
